Hebrew	Definition	Gender	PartOfSpeech	Shoresh	Audio	Inflections	Extended	Image	Tags
מְסַדֵּר	arranges, organizes (m, s)	פִּעֵ	v	ס־ד־ר		הוֹוֶהמְסַדֵּרmesaderמְסַדֶּרֶתmesaderetמְסַדְּרִיםmesadrimמְסַדְּרוֹתmesadrotעָבָרסִידַּרְתִּיsidartiסִידַּרְנוּsidarnuסִידַּרְתָּsidartaסִידַּרְתְּsidartסִידַּרְתֶּםsidartemסִידַּרְתֶּןsidartenסִידֵּרsiderסִידְּרָהsidraסִידְּרוּsidruעָתִידאֲסַדֵּרasaderנְסַדֵּרnesaderתְּסַדֵּרtesaderתְּסַדְּרִיtesadriתְּסַדְּרוּtesadruתְּסַדֵּרְנָהtesadernaיְסַדֵּרyesaderתְּסַדֵּרtesaderיְסַדְּרוּyesadruתְּסַדֵּרְנָהtesadernaצִוּוּיסַדֵּר!‏sader!סַדְּרִי!‏sadri!סַדְּרוּ!‏sadru!סַדֵּרְנָה!‏saderna!			1-17 Level43 Present2 ס־ד־ר assimil-17
לְסַדֵּר	to organize, tidy, arrange	פִּעֵ	v	ס־ד־ר		הוֹוֶהמְסַדֵּרmesaderמְסַדֶּרֶתmesaderetמְסַדְּרִיםmesadrimמְסַדְּרוֹתmesadrotעָבָרסִידַּרְתִּיsidartiסִידַּרְנוּsidarnuסִידַּרְתָּsidartaסִידַּרְתְּsidartסִידַּרְתֶּםsidartemסִידַּרְתֶּןsidartenסִידֵּרsiderסִידְּרָהsidraסִידְּרוּsidruעָתִידאֲסַדֵּרasaderנְסַדֵּרnesaderתְּסַדֵּרtesaderתְּסַדְּרִיtesadriתְּסַדְּרוּtesadruתְּסַדֵּרְנָהtesadernaיְסַדֵּרyesaderתְּסַדֵּרtesaderיְסַדְּרוּyesadruתְּסַדֵּרְנָהtesadernaצִוּוּיסַדֵּר!‏sader!סַדְּרִי!‏sadri!סַדְּרוּ!‏sadru!סַדֵּרְנָה!‏saderna!	לא נוּכַל לסדר לך את זה תּוֹךְ שבוע.‏We won't be able to arrange it for you within a week.		1-17 L017 assimil ס־ד־ר assimil-17
חֶדֶר	room	ז	n	ח־ד־ר		חֲדָרִים	הוא נכנס אל החדר.‏He went into the room. הוא סידר את החדר.‏He put the room in order. היא שכרה חדר בעיר.‏‏She rented a room in the city. אני רוצה להזמין חדר במלון.‏I would like to reserve a room in the hotel. הוא הפך את הסלון לחדר שינה.‏He made [turned] the living room into a bedroom. היא הפכה את כל החדר כדי למצוא את העגיל.‏She turned the whole room upside down to find the earring.		1-02 Home Level26 ח־ד־ר assimil-17
שׁוּלְחָן	table, desk	ז	n	ש־ל־ח		שׁוּלְחָנוֹת	הם ישבו מסביב לשולחן.‏They sat around the table. השולחן ערוך והאוכל חם.‏The table js set and the food is hot. מי הפיל את הספרים מעל השולחן?‏Who knocked the books off the table?		1-02 Home Level26 ש־ל־ח assimil-17
אֵלֶּה	these		pro				pl. of זֶה אלה בגדים מלוכלכים.‏These are dirty clothes. אל תשאלו שאלות טפשיות כאלה.‏Don't ask such silly questions. אני מקבל סחרחורת מהסיבובים האלה.‏These turns [in the road, …] make me dizzy.		0-3 assimil-17
שְׁמוֹנֶה	eight	נ	#						0-7 Level17 numbers assimil-18
חֲתוּנָה	wedding	נ	n	ח־ת־ן		חֲתוּנּוֹת	מה דעתך שנִשְׂכּוֹר שמלת חתונה?‏How about hiring a wedding dress? [What is your opinion on…]		1-12 Family Level25 ח־ת־ן assimil-18
כְּמוֹ	like, as		prep				כְּמוֹ שאָמַרְתִּי, אני אוהב לַעֲזור לְךָ.‏Like I said, I love to help you.		1-02 Adverbs Level24 assimil-18
חָתָן	groom; son-in-law	ז	n	ח־ת־ן		חֲתָנִים	bride: כַּלָה		1-12 Family Level25 ח־ת־ן assimil-18
לְאָן	where to, to what place?						לאן אתם ממהרים כל כך?‏Where are you going in such a rush? לאן אתם הולכים? – אנחנו הולכים לקולנוע.‏Where are you going? – We're going to the movies. יש לי אוטו, אני מוכן להסיע אותך לאן שתרצה.‏I have a car, I’m prepared to drive you wherever you like.		0-4 Level18 Questions assimil-18
הוֹלֵךְ	walks, goes (m, s)	פָּעַ	v	ה־ל־ך		הוֹוֶההוֹלֵךְholechהוֹלֶכֶתholechetהוֹלְכִיםholchimהוֹלְכוֹתholchotעָבָרהָלַכְתִּיhalachtiהָלַכְנוּhalachnuהָלַכְתָּhalachtaהָלַכְתְּhalachtהֲלַכְתֶּםhalachtemהֲלַכְתֶּןhalachtenהָלַךְhalachהָלְכָהhalchaהָלְכוּhalchuעָתִידאֵלֵךְelechנֵלֵךְnelechתֵּלֵךְtelechתֵּלְכִיtelchiתֵּלְכוּtelchuתֵּלַכְנָהtelachna תֵּלֵכְנָהtelechnaיֵלֵךְyelechתֵּלֵךְtelechיֵלְכוּyelchuתֵּלַכְנָהtelachna תֵּלֵכְנָהtelechnaצִוּוּילֵךְ!‏lech!לְכִי!‏lechi!לְכוּ!‏lechu!לֵכְנָה!‏lechna!	הפַּעַר גדל והולך.‏The gap is growing wider and wider [growing and going]. הוא הולך כאילו הוא בלע מקל.‏He walks straight as a ramrod [as though he had swallowed a stick]. ניסיתי עוד פעם אבל זה לא הולך לי.‏I tried again but I'm getting nowhere [it isn't going for me]. .זה הולך טוב? – לא, זה לא הולך בכללIs it going well? – No, it's not going [well] at all. צריך להשכיב את הבקבוק, בעמידה זה לא הולך.‏The bottle has to be laid flat, it won’t fit in [won’t go] upright. אם אני ארגיש שמשהו לא הולך, אני תיכף אפסיק.‏If I feel something's wrong [is not going], I'll stop at once.		0-6 Letters2 Level02 Level42 Present1 ה־ל־ך assimil-18
אוֹפֶּרָה	opera	נ	n			אוֹפֵּרוֹת	"via Italian opera [in musica], from Latin ""exertion, work"""		1-09 assimil-18
עִם	with		prep						0-4 assimil-18
מִי	who?		q				"""…, who that"", what person מִי זֶה?‏who's that?"		0-1 Level18 Questions assimil-18
בַּעַל	husband; owner, master	ז	n	ב־ע־ל		בְּעָלִים	היא פשוט שיקרה לבַּעְלָהּ.‏She simply lied to her husband. היא הביאה את בַּעְלָהּ לנשף.‏She brought her husband to the ball. היא תמיד מתווכחת עם בַּעְלָהּ.‏She always argues with her husband. הגברת הציגה אותי לפני בַּעְלָהּ.‏The lady introduced me to her husband. תביא את האדון הזה אל בעל הבית.‏Take this gentleman to the landlord.		1-04 1-05 Family Level25 ב־ע־ל assimil-18
תֵשַׁע	nine	נ	#				הטקס יתחיל בתשע.‏The ceremony begins [will begin] at nine [o'clock]. אל תעיר אותי לפני תשע.‏Don't wake me before nine o'clock. איחרתי לאוטובוס של תשע.‏I missed the nine o'clock bus.		0-7 Level17 numbers assimil-19
מִשְׁפָּחָה	family	נ	n	שׁ־פ־ח		מִשְׁפָּחוֹת	also taxonomical במשפחה הזאת היא לובשת את המכנסיים.‏In this family, she wears the pants.		0-5 Family Level25 שׁ־פ־ח assimil-19
אַבָּא	father, dad	ז	n			אָבוֹת	"תמסרי ד""ש לאבא שלך.‏Give my regards to your father. אִימּוֹ ידעה אבל אָבִיו לא ידע.‏His mother knew but his father didn't know. שמעתי שאָבִיהָ מת לפני שבוע.‏I heard her father died a week ago. אבא שלו לא רוצה שהוא יסע לבד לאילת.‏His father doesn't want him to go to Eilat by himself."		0-5 Letters1 Level01 assimil-19
מְשַׂחֵק	plays, acts (m, s)	פִּעֵ	v	שׂ־ח־ק		הוֹוֶהמְשַׂחֵקmesachekמְשַׂחֶקֶתmesacheketמְשַׂחֲקִיםmesachakimמְשַׂחֲקוֹתmesachakotעָבָרשִׂיחַקְתִּיsichaktiשִׂיחַקְנוּsichaknuשִׂיחַקְתָּsichaktaשִׂיחַקְתְּsichaktשִׂיחַקְתֶּםsichaktemשִׂיחַקְתֶּןsichaktenשִׂיחֵקsichekשִׂיחֲקָהsichakaשִׂיחֲקוּsichakuעָתִידאֲשַׂחֵקasachekנְשַׂחֵקnesachekתְּשַׂחֵקtesachekתְּשַׂחֲקִיtesachakiתְּשַׂחֲקוּtesachakuתְּשַׂחֵקְנָהtesacheknaיְשַׂחֵקyesachekתְּשַׂחֵקtesachekיְשַׂחֲקוּyesachakuתְּשַׂחֵקְנָהtesacheknaצִוּוּישַׂחֵק!‏sachek!שַׂחֲקִי!‏sachaki!שַׂחֲקוּ!‏sachaku!שַׂחֵקְנָה!‏sachekna!	השחקן הזה משחק משחק מעולה.‏This actor acts superbly.		1-06 Level43 Present2 assimil-19
לְשַׂחֵק	to play (game, role)	פִּעֵ	v	שׂ־ח־ק		הוֹוֶהמְשַׂחֵקmesachekמְשַׂחֶקֶתmesacheketמְשַׂחֲקִיםmesachakimמְשַׂחֲקוֹתmesachakotעָבָרשִׂיחַקְתִּיsichaktiשִׂיחַקְנוּsichaknuשִׂיחַקְתָּsichaktaשִׂיחַקְתְּsichaktשִׂיחַקְתֶּםsichaktemשִׂיחַקְתֶּןsichaktenשִׂיחֵקsichekשִׂיחֲקָהsichakaשִׂיחֲקוּsichakuעָתִידאֲשַׂחֵקasachekנְשַׂחֵקnesachekתְּשַׂחֵקtesachekתְּשַׂחֲקִיtesachakiתְּשַׂחֲקוּtesachakuתְּשַׂחֵקְנָהtesacheknaיְשַׂחֵקyesachekתְּשַׂחֵקtesachekיְשַׂחֲקוּyesachakuתְּשַׂחֵקְנָהtesacheknaצִוּוּישַׂחֵק!‏sachek!שַׂחֲקִי!‏sachaki!שַׂחֲקוּ!‏sachaku!שַׂחֵקְנָה!‏sachekna!	‏… שַׁחְמָט/פּוֹקֶר: play chess/poker הילדים יודעים לשחק שח.‏The children know [how] to play chess. אבל אימא לא מרשה לכם לשחק בחוץ.‏But Mother doesn’t allow you to play outside. ילדים, מי שגמר לאכול יכול ללכת לשחק.‏Kids, whoever's finished eating can go play.		1-06 Infinitives1 Level45 שׂ־ח־ק assimil-19
כַּדּוּרֶגֶל	soccer, football	ז	n				כַּדּוּר (ball) + רֶגֶל (foot) derived from English		2-10 Level64 Sports assimil-19
אִימָא	mom	נ	n			אִימָּהוֹת	sing. less formal than אֵם		0-1 1-28 Letters1 Level01 assimil-19
טֶנִיס	tennis	ז	n			טֶנִיסִים	"via French tenez, ""hold!"", ""take!"", …"		Level64 Sports assimil-19
קָטָן	small, little, young; diminutive, insignificant, unimportant	ז	a	ק־ט־ן		קְטַנָּה			1-02 Adjectives1 Level12 ק־ט־ן assimil-19
כַּדּוּר	ball, sphere; bullet; pill, tablet	ז	n			כַּדּוּרִים	‏הילדים הֶעֱבִירוּ בֵּינֵיהֶם את הכדור.‏The children passed the ball to one another.		2-10 Level64 Sports assimil-19
כַּדּוּרְסָל	basketball	ז	n				כַּדּוּר ball + סַל basket no pl.		Level64 Sports assimil-19
אָחוֹת	sister; nurse	נ	n			אֲחָיוֹת	אחותי השתלמה בשיעורי ערב.‏My sister took an extension course at evening classes. האחות הזאת מטפלת בחולים במסירות.‏This nurse cares for the patients devotedly. הילד התחפש לשוטר, ואחותו התחפשה לאסתר המלכ.‏The boy dressed up as a policeman, and his sister dressed up as Queen Esther.		1-18 Family Level25 Level58 Medical assimil-19
מִשְׂחָק	game, match	ז	n	שׁ־ח־ק		מִשְׂחָקִים	any kind למה רימית במשחק?‏Why did you cheat at the game? באיזה משחק נשחק?‏What game shall we play? המשחק הזה משעשע את הקהל.‏This game amuses the audience.		1-06 1-14 Level64 Sports שׁ־ח־ק assimil-19
וִידֵאוֹ	video, VCR	ז	n			וִידֵאוֹאִים			0-3 assimil-19
בַּיִת	house, home; stanza (music)	ז	n	ב־י־ת		בָּתִים	often used in construct form for institutions מתי הוא חוזר הביתה?‏When does he come home? הגנב ברח מבית הסוהר.‏The thief escaped from prison. הפועלים הרסו את הבית הישן.‏The workmen demolished the old house. אתה שוכח שאתה לא בבית פה!‏You forget you're not at home here! החיילים התחבאו מאחורי הבתים.‏The soldiers concealed themselves behind the houses. אנחנו עוברים כל יום לפני הבית שלו.‏We pass by his house every day. בשנה הבאה הם ישכרו בית על שפת הים.‏Next year they're going to rent a house by the sea. הבתים שיוקמו על המגרש הזה יהיו יקרים.‏The houses that will be built on this lot will be expensive. כל הילדים עוזבים את הבית במוקדם או במאוחר.‏All kids leave home sooner or later.		0-5 Home Level26 Level63 Music ב־י־ת assimil-19
עֶשְׂרִים	twenty		#	ע־שׂ־ר			"no gender for 20, 30, …, 90 non-zero first digit comes after a וְ, with gender still applying, eg.: ""33 minutes"": שְׁלוֹשִׁים וְשָׁלוֹשׁ דקות"		1-06 1-09 Level17 numbers ע־שׂ־ר assimil-20
הָעֶשְׂרִים	the twentieth		a	ע־שׂ־ר					1-13 ע־שׂ־ר assimil-20
סוֹף	end, finish	ז	n	ס־ו־ף		סוֹפִים			1-09 1-16 AbstractObjects1 Level37 ס־ו־ף assimil-20
שָׁבוּעַ	week	ז	n	שׁ־ב־ע		שָׁבוּעוֹת	שְׁבוּעַיִים: two weeks העוצר נמשך שבועיים.‏The curfew lasted two weeks. אני עסוק מאוד השבוע.‏I'm very busy this week. נוכל להמשיך בשבוע הבא.‏We can continue next week. אני אעשה את העבודה בשבוע.‏I'll do the job in a week. שמעתי שאביה מת לפני שבוע.‏I heard her father died a week ago. לא נוכל לסדר לך את זה תוך שבוע.‏We won't be able to arrange it for you within a week. זה לוקח שלושה שבועות לקבל תשובה.‏It takes three weeks to get an answer. השבוע חידשו את היחסים בין שתי המדינות.‏This week relations between the two countries were resumed. שילמתי חלק מהמחיר עכשיו ואת היתר אני אשלם בעוד שבוע.‏I paid part of the price now and I'll pay the rest in a week’s time.		1-04 DatesAndTime Level22 שׁ־ב־ע assimil-20
הַשָׁבוּעַ	this week	ז		שׁ־ב־ע			שָׁבוּעַ שֶׁעָבַרlast weekשָׁבוּעַ הַבָּאnext week		1-20 שׁ־ב־ע assimil-20
בְּרֵיכָה	(swimming) pool, pond	נ	n	ב־ר־ך		בְּרֵיכוֹת			1-25 Level35 Objects ב־ר־ך assimil-20
עַל	on (top), about, super-, above, more/larger than		prep prefix				literally, figuratively		0-5 Level21 Prepositions2 assimil-20
פּוֹלִיטִיקָה	politics	נ	n						0-5 assimil-20
אֵשׁ	fire, flame	נ	n			אִשִּׁים	pl. not used in Modern Hebrew המים רתחו, הורדתי אותם מהאש.‏The water was boiling, and I took it off the stove [the fire]. שים עוד עצים, כדי שהאש לא תכבה.‏Put some more wood on, so that the fire doesn't go out. בדרום אפריקה המשטרה פתחה בְּאֵשׁ על המַפְגִינִים.‏The police in South Africa opened fire on the demonstrators.		1-16 Level40 Nature assimil-20
מַחְשֵׁב נַייָּד	laptop	ז	n			מַחְשְׁבִים נַייָּדִים	נַייָּד: portable		Level61 TechnologyAndCommunication assimil-09
בַּקָּשָׁה	request, application	נ	n	ב־ק־שׁ		בַּקָּשׁוֹת	הִגַּשְׁתִּי בקשה להֶיתֵּר יְצִיאָה.‏I applied [submitted a request] for an exit permit.		0-6 1-12 ב־ק־שׁ assimil-10
שָׁם	(over) there		adv				location some distance from speaker		0-3 Adverbs Level24 assimil-15
דִּיאֵטָה	diet	נ	n			דִּיאֵטוֹת	"ultimately Ancient Greek díaita, eg. ""way of life"""		Level58 Medical assimil-16
מֵבִין	understands (m, s)	הִפְ	v	ב־י־ן		הוֹוֶהמֵבִיןmevinמְבִינָהmevinaמְבִינִיםmevinimמְבִינוֹתmevinotעָבָרהֵבַנְתִּיhevanti הֲבִינוֹתִיhavinotiהֵבַנּוּhevannu הֲבִינוֹנוּhavinonuהֵבַנְתָּhevanta הֲבִינוֹתָhavinotaהֵבַנְתְּhevant הֲבִינוֹתhavinotהֲבַנְתֶּםhavantem הֲבִינוֹתֶםhavinotemהֲבַנְתֶּןhavanten הֲבִינוֹתֶןhavinotenהֵבִיןhevinהֵבִינָהhevinaהֵבִינוּhevinuעָתִידאָבִיןavinנָבִיןnavinתָּבִיןtavinתָּבִינִיtaviniתָּבִינוּtavinuתָּבֵנָּהtavenna תְּבִינֶינָהtevinenaיָבִיןyavinתָּבִיןtavinיָבִינוּyavinuתָּבֵנָּהtavenna תְּבִינֶינָהtevinenaצִוּוּיהָבֵן!‏haven!הָבִינִי!‏havini!הָבִינוּ!‏havinu!הָבֵנָּה!‏havenna!	also spoken: mavin אֲנִי לֹא מֵבִין.‏I don't understand. אני כל פעם מתפלא כמה מהר הוא מבין.‏I'm surprised every time how quickly he understands. אני לא מדבר באופן חופשי אבל אני מבין כשאתם מדברים.‏I don't speak fluently but I understand when you speak.		1-01 Level44 Present3 ב־י־ן assimil-16
כִּי	because, for, since		conj				or בִּגְלַל ‏הָלַכְתִּי למְכוּלַת לִקְנוֹת שַׂקִּית חלב כי אמי בִּיקְּשָׁה מִמֶּנִי.‏‎I went to the grocery store to buy a bag of milk because my mother asked me to. השמש נִמְצֵאת עכשיו במִזְרָח, כי זוֹהִי שְׁעַת זְרִיחָתָהּ.‏‎The sun is [located] in the east now, for this is the hour of its [sun]rise.		1-06 Conjunctions Level20 assimil-16
מִיטָּה	bed	נ	n	נ־ט־ה		מִיטּוֹת	תשכב על המיטה, אני אבדוק אותך.‏Lie down on the bed, I'll examine you.		1-03 Home Level26 נ־ט־ה assimil-17
כִּיסֵּא	chair	ז	n	כ־ס־א		כִּיסְּאוֹת	also: throne היא נִכְנְסָה ויָשְׁבָה על כיסא.‏She came in and sat down on a chair.		1-03 Home Level26 כ־ס־א assimil-17
אָח	brother, fellow; male nurse	ז	n			אַחִים	לך תקרא לאחיך.‏Go call your brother. אימא כעסה על אחי הקטן.‏Mother was angry with my younger brother.		1-18 Family Level25 assimil-19
אָחוֹת גְּדוֹלָה	older sister	נ	n		achot g'dolah	אֲחָיוֹת גְּדוֹלוֹת			20 assimil-19
אָחוֹת צְעִירָה	younger sister	נ	n		achot ze'ira	אֲחָיוֹת צְעִירוֹת			20 assimil-19
סוֹף סוֹף	finally, at last; after all		adv				"סוֹף: end סוף סוף הגענו.‏We've arrived at last. ""הנה סיימתי סוף סוף.‏""“And now I’ve finished at last"". סוף סוף התפטרתי ממנו.‏I finally got rid of him. סוף סוף את מגלה שאני כאן!‏You've finally realized I'm here!"		1-09 1-16 1-27 Adverbs Level24 assimil-20
